,Number,Name,Department,Functional_Group,Sp_Area_Designed,Area_Briefed,Area Dif
3640646,01.04.01.012,INFORMAL LOUNGE,01 - GENERIC INPATIENT WARD,01.04.05 - WARD BASED FACILITIES,13.97,0.00,-13.97
3640445,01.04.01.012,INTERVIEW ROOM,01 - GENERIC INPATIENT WARD,01.04.05 - WARD BASED FACILITIES,9.93,10.00,0.07
3640409,01.04.01.012,MULTIPURPOSE,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,16.05,15.00,-1.05
3640430,01.04.01.012,NURSE STATION (CENTRAL),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,9.95,10.00,0.05
3640460,01.04.01.012,NURSE STATION (CENTRAL),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,9.95,10.00,0.05
3640502,01.04.01.012,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),2.48,5.00,2.52
3640512,01.04.01.012,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),2.48,5.00,2.52
3640516,01.04.01.012,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),2.48,5.00,2.52
3640650,01.04.01.012,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),2.48,5.00,2.52
3640655,01.04.01.012,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),2.48,5.00,2.52
3640669,01.04.01.012,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),2.48,5.00,2.52
3640421,01.04.01.012,PATIENT MEAL PREPARATION ROOM,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,7.85,9.00,1.15
3640427,01.04.01.012,RECEPTION,01 - GENERIC INPATIENT WARD,01.04.05 - WARD BASED FACILITIES,5.02,5.00,-0.02
3640451,01.04.01.012,REFUSE,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,14.90,15.00,0.10
3640436,01.04.01.012,SOILED LINEN,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,14.93,15.00,0.07
3640466,01.04.01.012,STORE (EQUIPMENT),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,20.03,20.00,-0.03
3640439,01.04.01.012,STORE (LINEN),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),15.03,15.00,-0.03
3640472,01.04.01.012,STORE (LINEN),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),15.03,15.00,-0.03
3640442,01.04.01.012,STORE (MEDICATION) / MEDICATION ROOM,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,20.03,20.00,-0.03
3640481,01.04.01.012,STORE (PPE / CONSUMABLE),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,6.68,8.00,1.32
3640383,01.04.01.012,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),5.00,5.00,0.00
3640403,01.04.01.012,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),6.00,5.00,-1.00
3640406,01.04.01.012,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),6.00,5.00,-1.00
3640543,01.04.01.012,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),5.00,5.00,0.00
3640640,01.04.01.012,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),6.00,5.00,-1.00
3640643,01.04.01.012,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),6.00,5.00,-1.00
3640351,01.04.01.012,TREATMENT ROOM,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),19.94,20.00,0.06
3640475,01.04.01.012,TREATMENT ROOM,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),19.94,20.00,0.06
4534183,01.04.01.013,1-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),16.11,15.00,-1.11
4534788,01.04.01.014,ENSUITE WC / SHOWER FOR 1-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
4534186,01.04.01.015,GOWN DOWN FOR 1-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),5.65,5.00,-0.65
4534340,01.04.01.016,ALCOVES (SITTING),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),1.96,0.00,-1.96
4534326,01.04.01.017,ALCOVES (SITTING),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),1.96,0.00,-1.96
4534332,01.04.01.018,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),2.48,5.00,2.52
4534336,01.04.01.019,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),2.48,5.00,2.52
4534322,01.04.01.020,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),2.48,5.00,2.52
4534226,01.04.01.021,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),6.00,5.00,-1.00
4534229,01.04.01.022,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),6.00,5.00,-1.00
4534206,01.04.01.023,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),5.00,5.00,0.00
4534179,01.04.01.024,TREATMENT ROOM,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),19.94,20.00,0.06
4534351,01.04.01.025,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),1.72,1.00,-0.72
4534354,01.04.01.026,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),1.73,1.00,-0.73
2783151,01.04.01.027,STAFF WC & SHOWER (M & F),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),2.57,1.00,-1.57
4534223,01.04.01.029,CLEANER'S ROOM,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),3.49,3.00,-0.49
4534259,01.04.01.030,STORE (LINEN),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),15.03,15.00,-0.03
4534253,01.04.01.031,ASSISTED BATH,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),12.02,0.00,-12.02
4534174,01.04.01.032,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.70,0.00,-4.70
4534163,01.04.01.033,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.70,0.00,-4.70
4534152,01.04.01.034,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.70,0.00,-4.70
4534130,01.04.01.035,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.70,0.00,-4.70
4534141,01.04.01.036,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.70,0.00,-4.70
4534633,01.04.02.001,6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),54.00,54.00,0.00
4534608,01.04.02.002,6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),54.00,54.00,0.00
4534583,01.04.02.003,6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),54.00,54.00,0.00
4534558,01.04.02.004,6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),54.00,54.00,0.00
4534533,01.04.02.005,6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),54.00,54.00,0.00
4534403,01.04.02.006,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
4534392,01.04.02.007,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
4534414,01.04.02.008,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
4534425,01.04.02.009,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
4534436,01.04.02.010,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
4534221,01.04.02.011,2-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),25.92,18.00,-7.92
4534117,01.04.02.012,ENSUITE WC / SHOWER FOR 2-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
4534123,01.04.02.013,1-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),16.11,15.00,-1.11
4534126,01.04.02.014,ENSUITE WC / SHOWER FOR 1-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
4534127,01.04.02.015,GOWN DOWN FOR 1-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),5.65,5.00,-0.65
4534479,01.04.02.016,ALCOVES (SITTING),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),1.96,0.00,-1.96
4534493,01.04.02.017,ALCOVES (SITTING),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),1.96,0.00,-1.96
4534470,01.04.02.018,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),2.48,5.00,2.52
4534475,01.04.02.019,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),2.48,5.00,2.52
4534489,01.04.02.020,NURSE STATION (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),2.48,5.00,2.52
4534363,01.04.02.021,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),5.00,5.00,0.00
4534463,01.04.02.022,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),6.00,5.00,-1.00
4534460,01.04.02.023,STORE (SATELLITE),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),6.00,5.00,-1.00
4534295,01.04.02.024,TREATMENT ROOM,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),19.94,20.00,0.06
4534357,01.04.02.025,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),1.73,1.00,-0.73
4534360,01.04.02.026,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),1.73,1.00,-0.73
4534504,01.04.02.027,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),1.72,1.00,-0.72
4534304,01.04.02.028,DIRTY UTILITY,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),10.07,10.00,-0.07
4534366,01.04.02.029,CLEANER'S ROOM,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),3.49,3.00,-0.49
4534292,01.04.02.030,STORE (LINEN),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),15.03,15.00,-0.03
4534283,01.04.02.031,ASSISTED BATH,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),12.02,0.00,-12.02
4534409,01.04.02.032,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.70,0.00,-4.70
4534398,01.04.02.033,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.70,0.00,-4.70
4534420,01.04.02.034,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.70,0.00,-4.70
4534431,01.04.02.035,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.70,0.00,-4.70
4534442,01.04.02.036,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.70,0.00,-4.70
4534812,01.04.03.001,END-OF-LIFE,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,19.96,20.00,0.04
4534250,01.04.03.002,NURSE STATION (CENTRAL),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,9.95,10.00,0.05
4534280,01.04.03.003,NURSE STATION (CENTRAL),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,9.95,10.00,0.05
4534262,01.04.03.004,STORE (MEDICATION) / MEDICATION ROOM,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,20.03,20.00,-0.03
4534286,01.04.03.005,STORE (EQUIPMENT),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,20.03,20.00,-0.03
4534301,01.04.03.006,STORE (PPE / CONSUMABLE),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,6.68,8.00,1.32
4534289,01.04.03.007,DOCTOR WORKROOM / MEDICAL RECORD HOLDING,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,10.02,10.00,-0.02
4534370,01.04.03.008,ALCOVES (STRETCHER & WHEELCHAIR),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,2.59,2.00,-0.59
4534313,01.04.03.011,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,1.73,1.00,-0.73
4534345,01.04.03.015,ALCOVES (MEAL TROLLEY),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,2.09,2.00,-0.09
4534498,01.04.03.016,ALCOVES (MEAL TROLLEY),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,2.09,2.00,-0.09
4534241,01.04.03.017,PATIENT MEAL PREPARATION ROOM,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,7.85,9.00,1.15
4534232,01.04.03.018,MULTIPURPOSE,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,16.05,15.00,-1.05
4534271,01.04.03.019,REFUSE,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,14.90,15.00,0.10
4534256,01.04.03.020,SOILED LINEN,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,14.93,15.00,0.07
2783129,01.04.04.001,OFFICE (WM/NO),01 - GENERIC INPATIENT WARD,01.04.04 - STAFF AREA,12.47,12.00,-0.47
